,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,151,-195,-0xc3,-309,-0x135,,,+45,+0x2d,+335,+0x14f,,
1,<<,152,-17,-0x11,,,-23,-0x17,+253,+0xfd,+267,+0x10b,,
1,<<,153,-69,-0x45,,,-171,-0xab,+95,+0x5f,,,+345,+0x159
1,<<,154,-243,-0xf3,-393,-0x189,,,+27,+0x1b,,,+273,+0x111
1,<<,155,-31,-0x1f,-49,-0x31,,,+15,+0xf,,,+273,+0x111
1,<<,156,-143,-0x8f,-173,-0xad,,,+45,+0x2d,+115,+0x73,,
1,<<,157,-19,-0x13,-133,-0x85,,,+69,+0x45,+179,+0xb3,,
1,<<,158,-15,-0xf,-213,-0xd5,,,+97,+0x61,+639,+0x27f,,
1,<<,159,-91,-0x5b,-241,-0xf1,,,+299,+0x12b,,,+341,+0x155
1,<<,160,-47,-0x2f,-57,-0x39,,,+7,+0x7,,,+357,+0x165
1,<<,161,-159,-0x9f,-493,-0x1ed,,,+107,+0x6b,,,+417,+0x1a1
1,<<,162,-101,-0x65,,,-447,-0x1bf,+19,+0x13,,,+49,+0x31
1,<<,163,-55,-0x37,-69,-0x45,,,+21,+0x15,+195,+0xc3,,
1,<<,164,-63,-0x3f,-485,-0x1e5,,,+117,+0x75,+135,+0x87,,
1,<<,165,-25,-0x19,,,-115,-0x73,+141,+0x8d,+147,+0x93,,
1,<<,166,-5,-0x5,,,-935,-0x3a7,+85,+0x55,+1023,+0x3ff,,
1,<<,167,-135,-0x87,-577,-0x241,,,+83,+0x53,,,+321,+0x141
1,<<,168,-257,-0x101,,,-1143,-0x477,+87,+0x57,,,+117,+0x75
1,<<,169,-643,-0x283,-841,-0x349,,,+147,+0x93,,,+1269,+0x4f5
1,<<,170,-143,-0x8f,-153,-0x99,,,+49,+0x31,+55,+0x37,,
1,<<,171,-19,-0x13,-649,-0x289,,,+129,+0x81,+231,+0xe7,,
1,<<,172,-95,-0x5f,-525,-0x20d,,,+105,+0x69,+487,+0x1e7,,
1,<<,173,-55,-0x37,-313,-0x139,,,+77,+0x4d,+191,+0xbf,,
1,<<,174,-3,-0x3,-17,-0x11,,,+7,+0x7,,,+37,+0x25
1,<<,175,-229,-0xe5,,,-267,-0x10b,+9,+0x9,+735,+0x2df,,
1,<<,176,-233,-0xe9,,,-327,-0x147,+427,+0x1ab,,,+957,+0x3bd
1,<<,177,-339,-0x153,-609,-0x261,,,+75,+0x4b,,,+105,+0x69
1,<<,178,-41,-0x29,,,-563,-0x233,+87,+0x57,,,+189,+0xbd
1,<<,179,-49,-0x31,,,-159,-0x9f,+309,+0x135,+363,+0x16b,,
1,<<,180,-47,-0x2f,-189,-0xbd,,,+15,+0xf,,,+193,+0xc1
1,<<,181,-165,-0xa5,,,-199,-0xc7,+165,+0xa5,+759,+0x2f7,,
1,<<,182,-161,-0xa1,,,-267,-0x10b,+49,+0x31,+207,+0xcf,,
1,<<,183,-147,-0x93,-357,-0x165,,,+215,+0xd7,,,+381,+0x17d
1,<<,184,-33,-0x21,,,-59,-0x3b,+27,+0x1b,,,+277,+0x115
1,<<,185,-303,-0x12f,-321,-0x141,,,+159,+0x9f,,,+825,+0x339
1,<<,186,-371,-0x173,-485,-0x1e5,,,+205,+0xcd,+315,+0x13b,,
1,<<,187,-85,-0x55,,,-391,-0x187,+303,+0x12f,,,+393,+0x189
1,<<,188,-125,-0x7d,,,-143,-0x8f,+57,+0x39,+123,+0x7b,,
1,<<,189,-25,-0x19,,,-583,-0x247,+35,+0x23,,,+765,+0x2fd
1,<<,190,-11,-0xb,-33,-0x21,,,+129,+0x81,+223,+0xdf,,
1,<<,191,-19,-0x13,-69,-0x45,,,+5,+0x5,+95,+0x5f,,
1,<<,192,-237,-0xed,,,-399,-0x18f,+133,+0x85,+511,+0x1ff,,
1,<<,193,-31,-0x1f,-909,-0x38d,,,+65,+0x41,+71,+0x47,,
1,<<,194,-33,-0x21,,,-75,-0x4b,+27,+0x1b,,,+517,+0x205
1,<<,195,-135,-0x87,-1005,-0x3ed,,,+35,+0x23,,,+53,+0x35
1,<<,196,-15,-0xf,-533,-0x215,,,+21,+0x15,+471,+0x1d7,,
1,<<,197,-75,-0x4b,-169,-0xa9,,,+107,+0x6b,,,+117,+0x75
1,<<,198,-17,-0x11,,,-615,-0x267,+15,+0xf,,,+49,+0x31
1,<<,199,-49,-0x31,,,-459,-0x1cb,+101,+0x65,+123,+0x7b,,
1,<<,200,-75,-0x4b,-117,-0x75,,,+235,+0xeb,,,+697,+0x2b9
1,<<,201,-55,-0x37,-313,-0x139,,,+351,+0x15f,,,+617,+0x269
1,<<,202,-183,-0xb7,-273,-0x111,,,+67,+0x43,,,+189,+0xbd
1,<<,203,-159,-0x9f,-237,-0xed,,,+15,+0xf,,,+725,+0x2d5
1,<<,204,-167,-0xa7,-249,-0xf9,,,+7,+0x7,,,+157,+0x9d
1,<<,205,-81,-0x51,,,-343,-0x157,+581,+0x245,+779,+0x30b,,
1,<<,206,-5,-0x5,,,-63,-0x3f,+33,+0x21,+75,+0x4b,,
1,<<,207,-91,-0x5b,-157,-0x9d,,,+203,+0xcb,,,+813,+0x32d
1,<<,208,-299,-0x12b,-1505,-0x5e1,,,+375,+0x177,,,+661,+0x295
1,<<,209,-33,-0x21,,,-439,-0x1b7,+47,+0x2f,,,+257,+0x101
1,<<,210,-47,-0x2f,-65,-0x41,,,+33,+0x21,+403,+0x193,,
1,<<,211,-175,-0xaf,-481,-0x1e1,,,+71,+0x47,,,+725,+0x2d5
1,<<,212,-23,-0x17,-29,-0x1d,,,+57,+0x39,+223,+0xdf,,
1,<<,213,-3,-0x3,-61,-0x3d,,,+75,+0x4b,,,+221,+0xdd
1,<<,214,-185,-0xb9,,,-255,-0xff,+7,+0x7,,,+217,+0xd9
1,<<,215,-157,-0x9d,,,-1147,-0x47b,+251,+0xfb,,,+713,+0x2c9
1,<<,216,-377,-0x179,,,-479,-0x1df,+423,+0x1a7,,,+457,+0x1c9
1,<<,217,-61,-0x3d,,,-519,-0x207,+129,+0x81,+315,+0x13b,,
1,<<,218,-33,-0x21,,,-243,-0xf3,+163,+0xa3,,,+609,+0x261
1,<<,219,-121,-0x79,,,-355,-0x163,+185,+0xb9,+911,+0x38f,,
1,<<,220,-77,-0x4d,,,-167,-0xa7,+217,+0xd9,+463,+0x1cf,,
1,<<,221,-3,-0x3,-133,-0x85,,,+81,+0x51,+791,+0x317,,
1,<<,222,-117,-0x75,,,-263,-0x107,+49,+0x31,+127,+0x7f,,
1,<<,223,-235,-0xeb,-549,-0x225,,,+189,+0xbd,+255,+0xff,,
1,<<,224,-63,-0x3f,-573,-0x23d,,,+735,+0x2df,,,+813,+0x32d
1,<<,225,-49,-0x31,,,-103,-0x67,+119,+0x77,,,+141,+0x8d
1,<<,226,-5,-0x5,,,-155,-0x9b,+735,+0x2df,,,+1429,+0x595
1,<<,227,-405,-0x195,,,-835,-0x343,+483,+0x1e3,,,+1433,+0x599
1,<<,228,-93,-0x5d,,,-455,-0x1c7,+3,+0x3,,,+397,+0x18d
1,<<,229,-91,-0x5b,-565,-0x235,,,+249,+0xf9,+251,+0xfb,,
1,<<,230,-27,-0x1b,-77,-0x4d,,,+67,+0x43,,,+897,+0x381
1,<<,231,-165,-0xa5,,,-235,-0xeb,+105,+0x69,+171,+0xab,,
1,<<,232,-567,-0x237,-665,-0x299,,,+357,+0x165,+787,+0x313,,
1,<<,233,-3,-0x3,-289,-0x121,,,+431,+0x1af,,,+489,+0x1e9
1,<<,234,-83,-0x53,-257,-0x101,,,+43,+0x2b,,,+225,+0xe1
1,<<,235,-15,-0xf,-181,-0xb5,,,+81,+0x51,+95,+0x5f,,
1,<<,236,-209,-0xd1,,,-455,-0x1c7,+25,+0x19,+403,+0x193,,
1,<<,237,-181,-0xb5,,,-1515,-0x5eb,+249,+0xf9,+431,+0x1af,,
1,<<,238,-161,-0xa1,,,-215,-0xd7,+67,+0x43,,,+189,+0xbd
1,<<,239,-87,-0x57,-421,-0x1a5,,,+29,+0x1d,+131,+0x83,,
1,<<,240,-467,-0x1d3,-797,-0x31d,,,+115,+0x73,,,+325,+0x145
1,<<,241,-39,-0x27,-2065,-0x811,,,+261,+0x105,+639,+0x27f,,
1,<<,242,-63,-0x3f,-281,-0x119,,,+69,+0x45,+519,+0x207,,
1,<<,243,-9,-0x9,,,-31,-0x1f,+59,+0x3b,,,+645,+0x285
1,<<,244,-189,-0xbd,,,-767,-0x2ff,+133,+0x85,+235,+0xeb,,
1,<<,245,-163,-0xa3,-489,-0x1e9,,,+315,+0x13b,,,+317,+0x13d
1,<<,246,-107,-0x6b,-797,-0x31d,,,+337,+0x151,+435,+0x1b3,,
1,<<,247,-81,-0x51,,,-411,-0x19b,+63,+0x3f,,,+269,+0x10d
1,<<,248,-237,-0xed,,,-387,-0x183,+81,+0x51,+375,+0x177,,
1,<<,249,-75,-0x4b,-385,-0x181,,,+119,+0x77,,,+521,+0x209
1,<<,250,-207,-0xcf,-1053,-0x41d,,,+25,+0x19,+423,+0x1a7,,
1,<<,251,-9,-0x9,,,-355,-0x163,+65,+0x41,+483,+0x1e3,,
1,<<,252,-129,-0x81,,,-143,-0x8f,+421,+0x1a5,+1687,+0x697,,
1,<<,253,-273,-0x111,,,-391,-0x187,+39,+0x27,,,+329,+0x149
1,<<,254,-245,-0xf5,,,-1223,-0x4c7,+79,+0x4f,,,+153,+0x99
1,<<,255,-19,-0x13,-765,-0x2fd,,,+95,+0x5f,,,+141,+0x8d
1,<<,256,-189,-0xbd,,,-435,-0x1b3,+297,+0x129,+487,+0x1e7,,
1,<<,257,-93,-0x5d,,,-363,-0x16b,+155,+0x9b,,,+509,+0x1fd
1,<<,258,-87,-0x57,-1017,-0x3f9,,,+73,+0x49,+555,+0x22b,,
1,<<,259,-361,-0x169,,,-987,-0x3db,+435,+0x1b3,,,+473,+0x1d9
1,<<,260,-149,-0x95,,,-687,-0x2af,+223,+0xdf,,,+397,+0x18d
1,<<,261,-223,-0xdf,-261,-0x105,,,+105,+0x69,+311,+0x137,,
1,<<,262,-71,-0x47,-453,-0x1c5,,,+79,+0x4f,,,+729,+0x2d9
1,<<,263,-747,-0x2eb,-1017,-0x3f9,,,+9,+0x9,+35,+0x23,,
1,<<,264,-275,-0x113,-1245,-0x4dd,,,+175,+0xaf,,,+625,+0x271
1,<<,265,-49,-0x31,,,-115,-0x73,+77,+0x4d,+515,+0x203,,
1,<<,266,-3,-0x3,-213,-0xd5,,,+133,+0x85,+135,+0x87,,
1,<<,267,-265,-0x109,,,-427,-0x1ab,+309,+0x135,+579,+0x243,,
1,<<,268,-77,-0x4d,,,-719,-0x2cf,+43,+0x2b,,,+121,+0x79
1,<<,269,-241,-0xf1,,,-343,-0x157,+245,+0xf5,+447,+0x1bf,,
1,<<,270,-53,-0x35,,,-611,-0x263,+127,+0x7f,,,+133,+0x85
1,<<,271,-169,-0xa9,,,-967,-0x3c7,+855,+0x357,,,+941,+0x3ad
1,<<,272,-237,-0xed,,,-287,-0x11f,+57,+0x39,+163,+0xa3,,
1,<<,273,-205,-0xcd,,,-795,-0x31b,+5,+0x5,+35,+0x23,,
