,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,9102,-725,-0x2d5,,,-16271,-0x3f8f,+15435,+0x3c4b,,,+15697,+0x3d51
1,<<,9103,-1069,-0x42d,,,-3115,-0xc2b,+185,+0xb9,+35331,+0x8a03,,
1,<<,9104,-1529,-0x5f9,,,-5939,-0x1733,+3283,+0xcd3,,,+7093,+0x1bb5
1,<<,9105,-4045,-0xfcd,,,-16435,-0x4033,+4421,+0x1145,+33299,+0x8213,,
1,<<,9106,-15617,-0x3d01,,,-25547,-0x63cb,+6309,+0x18a5,+22647,+0x5877,,
1,<<,9107,-2961,-0xb91,,,-16359,-0x3fe7,+2205,+0x89d,+39159,+0x98f7,,
1,<<,9108,-1929,-0x789,,,-3623,-0xe27,+7593,+0x1da9,+24603,+0x601b,,
1,<<,9109,-5383,-0x1507,-14145,-0x3741,,,+125,+0x7d,+2199,+0x897,,
1,<<,9110,-12071,-0x2f27,-19805,-0x4d5d,,,+9975,+0x26f7,,,+10945,+0x2ac1
1,<<,9111,-1111,-0x457,-13017,-0x32d9,,,+6951,+0x1b27,,,+16961,+0x4241
1,<<,9112,-7775,-0x1e5f,-8673,-0x21e1,,,+23311,+0x5b0f,,,+62701,+0xf4ed
1,<<,9113,-859,-0x35b,-1321,-0x529,,,+10677,+0x29b5,+33815,+0x8417,,
1,<<,9114,-921,-0x399,,,-2523,-0x9db,+10449,+0x28d1,+16039,+0x3ea7,,
1,<<,9115,-2449,-0x991,,,-6331,-0x18bb,+3875,+0xf23,,,+12273,+0x2ff1
1,<<,9116,-12717,-0x31ad,,,-47739,-0xba7b,+55,+0x37,,,+1617,+0x651
1,<<,9117,-2571,-0xa0b,-23421,-0x5b7d,,,+737,+0x2e1,+10379,+0x288b,,
1,<<,9118,-2997,-0xbb5,,,-4883,-0x1313,+2113,+0x841,+17559,+0x4497,,
1,<<,9119,-2359,-0x937,-12549,-0x3105,,,+1173,+0x495,+34055,+0x8507,,
1,<<,9120,-15923,-0x3e33,-17097,-0x42c9,,,+9777,+0x2631,+37947,+0x943b,,
1,<<,9121,-1299,-0x513,-1573,-0x625,,,+1355,+0x54b,,,+30477,+0x770d
1,<<,9122,-5235,-0x1473,-39437,-0x9a0d,,,+1749,+0x6d5,+7819,+0x1e8b,,
1,<<,9123,-33381,-0x8265,,,-33655,-0x8377,+1803,+0x70b,,,+12101,+0x2f45
1,<<,9124,-13595,-0x351b,-33453,-0x82ad,,,+10627,+0x2983,,,+20481,+0x5001
1,<<,9125,-5593,-0x15d9,,,-5599,-0x15df,+4205,+0x106d,+6587,+0x19bb,,
1,<<,9126,-6597,-0x19c5,,,-19667,-0x4cd3,+14253,+0x37ad,+17595,+0x44bb,,
1,<<,9127,-23115,-0x5a4b,-24577,-0x6001,,,+3419,+0xd5b,,,+34013,+0x84dd
1,<<,9128,-6627,-0x19e3,-17789,-0x457d,,,+6063,+0x17af,,,+18781,+0x495d
1,<<,9129,-3483,-0xd9b,-5625,-0x15f9,,,+9227,+0x240b,,,+13025,+0x32e1
1,<<,9130,-4221,-0x107d,,,-12663,-0x3177,+717,+0x2cd,+4495,+0x118f,,
1,<<,9131,-139,-0x8b,-51477,-0xc915,,,+4131,+0x1023,,,+18405,+0x47e5
1,<<,9132,-2397,-0x95d,,,-33303,-0x8217,+921,+0x399,+4963,+0x1363,,
1,<<,9133,-7011,-0x1b63,-12541,-0x30fd,,,+20609,+0x5081,+26135,+0x6617,,
1,<<,9134,-13691,-0x357b,-14117,-0x3725,,,+8035,+0x1f63,,,+61633,+0xf0c1
1,<<,9135,-1455,-0x5af,-25149,-0x623d,,,+791,+0x317,,,+3173,+0xc65
1,<<,9136,-6467,-0x1943,-30129,-0x75b1,,,+7435,+0x1d0b,,,+30433,+0x76e1
1,<<,9137,-663,-0x297,-2305,-0x901,,,+651,+0x28b,,,+15797,+0x3db5
1,<<,9138,-537,-0x219,,,-13355,-0x342b,+7933,+0x1efd,+16867,+0x41e3,,
1,<<,9139,-3951,-0xf6f,-15957,-0x3e55,,,+2919,+0xb67,,,+5349,+0x14e5
1,<<,9140,-5057,-0x13c1,,,-25803,-0x64cb,+2527,+0x9df,,,+34837,+0x8815
1,<<,9141,-11781,-0x2e05,,,-18451,-0x4813,+771,+0x303,,,+8261,+0x2045
1,<<,9142,-9993,-0x2709,,,-21503,-0x53ff,+7129,+0x1bd9,+29127,+0x71c7,,
1,<<,9143,-2431,-0x97f,-3909,-0xf45,,,+2969,+0xb99,+50939,+0xc6fb,,
1,<<,9144,-1469,-0x5bd,,,-9567,-0x255f,+1555,+0x613,,,+18793,+0x4969
1,<<,9145,-6565,-0x19a5,,,-31323,-0x7a5b,+725,+0x2d5,+9887,+0x269f,,
1,<<,9146,-4791,-0x12b7,-4821,-0x12d5,,,+5427,+0x1533,,,+14385,+0x3831
1,<<,9147,-2365,-0x93d,,,-12375,-0x3057,+4163,+0x1043,,,+26181,+0x6645
1,<<,9148,-11919,-0x2e8f,-11945,-0x2ea9,,,+1165,+0x48d,+10003,+0x2713,,
1,<<,9149,-1081,-0x439,,,-6015,-0x177f,+13805,+0x35ed,+21767,+0x5507,,
1,<<,9150,-657,-0x291,,,-5591,-0x15d7,+2655,+0xa5f,,,+25677,+0x644d
1,<<,9151,-8319,-0x207f,-34557,-0x86fd,,,+6425,+0x1919,+14555,+0x38db,,
1,<<,9152,-9749,-0x2615,,,-35703,-0x8b77,+987,+0x3db,,,+40137,+0x9cc9
1,<<,9153,-1225,-0x4c9,,,-2979,-0xba3,+3771,+0xebb,,,+8841,+0x2289
1,<<,9154,-7785,-0x1e69,,,-11747,-0x2de3,+11707,+0x2dbb,,,+19389,+0x4bbd
1,<<,9155,-981,-0x3d5,,,-1795,-0x703,+1373,+0x55d,+5943,+0x1737,,
1,<<,9156,-1287,-0x507,-20349,-0x4f7d,,,+4165,+0x1045,+6295,+0x1897,,
1,<<,9157,-4329,-0x10e9,,,-7371,-0x1ccb,+5547,+0x15ab,,,+42941,+0xa7bd
1,<<,9158,-1115,-0x45b,-1797,-0x705,,,+18463,+0x481f,,,+20529,+0x5031
1,<<,9159,-1795,-0x703,-4741,-0x1285,,,+645,+0x285,+6203,+0x183b,,
1,<<,9160,-2523,-0x9db,-4457,-0x1169,,,+1945,+0x799,+6343,+0x18c7,,
1,<<,9161,-5299,-0x14b3,-9493,-0x2515,,,+3435,+0xd6b,,,+7637,+0x1dd5
1,<<,9162,-4193,-0x1061,,,-7371,-0x1ccb,+4419,+0x1143,,,+43933,+0xab9d
1,<<,9163,-4035,-0xfc3,-17281,-0x4381,,,+18731,+0x492b,,,+23261,+0x5add
1,<<,9164,-7217,-0x1c31,,,-23207,-0x5aa7,+2353,+0x931,+18267,+0x475b,,
1,<<,9165,-5623,-0x15f7,-12621,-0x314d,,,+12029,+0x2efd,+30671,+0x77cf,,
1,<<,9166,-8855,-0x2297,-17045,-0x4295,,,+2607,+0xa2f,,,+10873,+0x2a79
1,<<,9167,-14325,-0x37f5,,,-20119,-0x4e97,+22503,+0x57e7,,,+25769,+0x64a9
1,<<,9168,-10733,-0x29ed,,,-45395,-0xb153,+303,+0x12f,,,+16033,+0x3ea1
1,<<,9169,-17619,-0x44d3,-17625,-0x44d9,,,+1277,+0x4fd,+19679,+0x4cdf,,
1,<<,9170,-971,-0x3cb,-9261,-0x242d,,,+1285,+0x505,+12507,+0x30db,,
1,<<,9171,-19891,-0x4db3,-19929,-0x4dd9,,,+4355,+0x1103,,,+10661,+0x29a5
1,<<,9172,-2979,-0xba3,-18849,-0x49a1,,,+20727,+0x50f7,,,+22261,+0x56f5
1,<<,9173,-8539,-0x215b,-16561,-0x40b1,,,+3077,+0xc05,+26375,+0x6707,,
1,<<,9174,-35,-0x23,-6345,-0x18c9,,,+3739,+0xe9b,,,+9657,+0x25b9
1,<<,9175,-1125,-0x465,,,-18807,-0x4977,+5933,+0x172d,+27995,+0x6d5b,,
1,<<,9176,-1167,-0x48f,-22233,-0x56d9,,,+1713,+0x6b1,+72927,+0x11cdf,,
1,<<,9177,-3913,-0xf49,,,-15571,-0x3cd3,+1977,+0x7b9,+15255,+0x3b97,,
1,<<,9178,-483,-0x1e3,-37553,-0x92b1,,,+7447,+0x1d17,,,+30985,+0x7909
1,<<,9179,-8065,-0x1f81,,,-8095,-0x1f9f,+3515,+0xdbb,,,+19445,+0x4bf5
1,<<,9180,-4539,-0x11bb,-11297,-0x2c21,,,+1171,+0x493,,,+41857,+0xa381
1,<<,9181,-4491,-0x118b,-23433,-0x5b89,,,+1299,+0x513,,,+40121,+0x9cb9
1,<<,9182,-87,-0x57,-1485,-0x5cd,,,+2799,+0xaef,,,+12685,+0x318d
1,<<,9183,-3051,-0xbeb,-3705,-0xe79,,,+4551,+0x11c7,,,+17369,+0x43d9
1,<<,9184,-9429,-0x24d5,,,-13163,-0x336b,+8977,+0x2311,+18271,+0x475f,,
1,<<,9185,-10771,-0x2a13,-14649,-0x3939,,,+11247,+0x2bef,,,+36681,+0x8f49
1,<<,9186,-1895,-0x767,-4865,-0x1301,,,+6069,+0x17b5,+32875,+0x806b,,
1,<<,9187,-5449,-0x1549,,,-15267,-0x3ba3,+5805,+0x16ad,+8819,+0x2273,,
1,<<,9188,-6809,-0x1a99,,,-10163,-0x27b3,+235,+0xeb,,,+3817,+0xee9
1,<<,9189,-2499,-0x9c3,-18405,-0x47e5,,,+15249,+0x3b91,+17151,+0x42ff,,
1,<<,9190,-57,-0x39,,,-6075,-0x17bb,+4455,+0x1167,,,+7645,+0x1ddd
1,<<,9191,-6847,-0x1abf,-9777,-0x2631,,,+3231,+0xc9f,,,+16085,+0x3ed5
1,<<,9192,-1713,-0x6b1,,,-4407,-0x1137,+8667,+0x21db,,,+21613,+0x546d
1,<<,9193,-5029,-0x13a5,,,-24163,-0x5e63,+347,+0x15b,,,+26121,+0x6609
1,<<,9194,-2603,-0xa2b,-2817,-0xb01,,,+649,+0x289,+6559,+0x199f,,
1,<<,9195,-3855,-0xf0f,-7125,-0x1bd5,,,+6863,+0x1acf,,,+10029,+0x272d
1,<<,9196,-11679,-0x2d9f,-55433,-0xd889,,,+10101,+0x2775,+30291,+0x7653,,
1,<<,9197,-2059,-0x80b,-11221,-0x2bd5,,,+3135,+0xc3f,,,+14429,+0x385d
1,<<,9198,-2253,-0x8cd,,,-5955,-0x1743,+17007,+0x426f,,,+22585,+0x5839
1,<<,9199,-15729,-0x3d71,,,-27915,-0x6d0b,+1121,+0x461,+5855,+0x16df,,
1,<<,9200,-4859,-0x12fb,-6285,-0x188d,,,+28833,+0x70a1,+59151,+0xe70f,,
1,<<,9201,-6123,-0x17eb,-8245,-0x2035,,,+10169,+0x27b9,+25055,+0x61df,,
1,<<,9202,-4463,-0x116f,-6677,-0x1a15,,,+9003,+0x232b,,,+16425,+0x4029
1,<<,9203,-12607,-0x313f,-17529,-0x4479,,,+7133,+0x1bdd,+37395,+0x9213,,
1,<<,9204,-3429,-0xd65,,,-11603,-0x2d53,+10645,+0x2995,+12867,+0x3243,,
1,<<,9205,-19341,-0x4b8d,,,-19575,-0x4c77,+14211,+0x3783,,,+30545,+0x7751
1,<<,9206,-1155,-0x483,-5505,-0x1581,,,+2835,+0xb13,,,+59785,+0xe989
1,<<,9207,-259,-0x103,-32401,-0x7e91,,,+5043,+0x13b3,,,+58109,+0xe2fd
1,<<,9208,-5555,-0x15b3,-8097,-0x1fa1,,,+17493,+0x4455,+19683,+0x4ce3,,
1,<<,9209,-1143,-0x477,-53445,-0xd0c5,,,+1079,+0x437,,,+12341,+0x3035
1,<<,9210,-3003,-0xbbb,-10257,-0x2811,,,+8023,+0x1f57,,,+15837,+0x3ddd
1,<<,9211,-3067,-0xbfb,-13689,-0x3579,,,+4199,+0x1067,,,+7925,+0x1ef5
1,<<,9212,-2373,-0x945,,,-4227,-0x1083,+11263,+0x2bff,,,+12957,+0x329d
1,<<,9213,-5395,-0x1513,-20593,-0x5071,,,+3587,+0xe03,,,+18305,+0x4781
1,<<,9214,-6555,-0x199b,-21077,-0x5255,,,+1023,+0x3ff,,,+22005,+0x55f5
1,<<,9215,-297,-0x129,,,-1651,-0x673,+4169,+0x1049,+18183,+0x4707,,
1,<<,9216,-31967,-0x7cdf,-63873,-0xf981,,,+1275,+0x4fb,,,+53641,+0xd189
1,<<,9217,-5101,-0x13ed,,,-6835,-0x1ab3,+11025,+0x2b11,+26495,+0x677f,,
1,<<,9218,-1275,-0x4fb,-4881,-0x1311,,,+13473,+0x34a1,+28975,+0x712f,,
1,<<,9219,-1669,-0x685,,,-24927,-0x615f,+17469,+0x443d,+19283,+0x4b53,,
1,<<,9220,-207,-0xcf,-4353,-0x1101,,,+9457,+0x24f1,+36051,+0x8cd3,,
1,<<,9221,-171,-0xab,-12481,-0x30c1,,,+425,+0x1a9,+11211,+0x2bcb,,
1,<<,9222,-3861,-0xf15,,,-9303,-0x2457,+2745,+0xab9,+14827,+0x39eb,,
1,<<,9223,-22785,-0x5901,,,-23199,-0x5a9f,+5253,+0x1485,+31343,+0x7a6f,,
1,<<,9224,-17,-0x11,,,-1695,-0x69f,+6501,+0x1965,+7015,+0x1b67,,
1,<<,9225,-6081,-0x17c1,,,-16071,-0x3ec7,+11979,+0x2ecb,,,+13689,+0x3579
1,<<,9226,-1497,-0x5d9,,,-34095,-0x852f,+769,+0x301,+5595,+0x15db,,
1,<<,9227,-9717,-0x25f5,,,-32979,-0x80d3,+1779,+0x6f3,,,+12065,+0x2f21
1,<<,9228,-3465,-0xd89,,,-34019,-0x84e3,+5493,+0x1575,+6111,+0x17df,,
1,<<,9229,-2211,-0x8a3,-18261,-0x4755,,,+2211,+0x8a3,,,+17541,+0x4485
1,<<,9230,-7931,-0x1efb,-13593,-0x3519,,,+1995,+0x7cb,,,+18349,+0x47ad
1,<<,9231,-6477,-0x194d,,,-14859,-0x3a0b,+15611,+0x3cfb,,,+15809,+0x3dc1
1,<<,9232,-357,-0x165,,,-15383,-0x3c17,+10843,+0x2a5b,,,+20377,+0x4f99
1,<<,9233,-933,-0x3a5,,,-15499,-0x3c8b,+9581,+0x256d,+25499,+0x639b,,
1,<<,9234,-3857,-0xf11,,,-24455,-0x5f87,+2989,+0xbad,+22635,+0x586b,,
1,<<,9235,-3639,-0xe37,-23701,-0x5c95,,,+3039,+0xbdf,,,+9209,+0x23f9
1,<<,9236,-4095,-0xfff,-10793,-0x2a29,,,+11481,+0x2cd9,+23431,+0x5b87,,
1,<<,9237,-1743,-0x6cf,-56689,-0xdd71,,,+3495,+0xda7,,,+9161,+0x23c9
1,<<,9238,-6245,-0x1865,,,-21663,-0x549f,+7879,+0x1ec7,,,+14625,+0x3921
1,<<,9239,-5677,-0x162d,,,-14079,-0x36ff,+1649,+0x671,+7275,+0x1c6b,,
1,<<,9240,-9449,-0x24e9,,,-28175,-0x6e0f,+18345,+0x47a9,+28011,+0x6d6b,,
1,<<,9241,-11425,-0x2ca1,,,-19839,-0x4d7f,+345,+0x159,+21035,+0x522b,,
1,<<,9242,-2717,-0xa9d,,,-11403,-0x2c8b,+11577,+0x2d39,+16743,+0x4167,,
1,<<,9243,-8277,-0x2055,,,-8299,-0x206b,+5139,+0x1413,,,+21989,+0x55e5
1,<<,9244,-1197,-0x4ad,,,-13779,-0x35d3,+24423,+0x5f67,,,+26473,+0x6769
1,<<,9245,-6523,-0x197b,-26049,-0x65c1,,,+1119,+0x45f,,,+4125,+0x101d
1,<<,9246,-1293,-0x50d,,,-1515,-0x5eb,+8799,+0x225f,,,+26145,+0x6621
1,<<,9247,-19039,-0x4a5f,-47317,-0xb8d5,,,+4089,+0xff9,+7359,+0x1cbf,,
1,<<,9248,-11433,-0x2ca9,,,-26003,-0x6593,+12153,+0x2f79,+14175,+0x375f,,
1,<<,9249,-4869,-0x1305,,,-14311,-0x37e7,+11207,+0x2bc7,,,+15557,+0x3cc5
1,<<,9250,-1763,-0x6e3,-8285,-0x205d,,,+16783,+0x418f,,,+26217,+0x6669
1,<<,9251,-22395,-0x577b,-27585,-0x6bc1,,,+6153,+0x1809,+11235,+0x2be3,,
1,<<,9252,-249,-0xf9,,,-5127,-0x1407,+163,+0xa3,,,+2025,+0x7e9
1,<<,9253,-4285,-0x10bd,,,-7363,-0x1cc3,+5487,+0x156f,,,+21161,+0x52a9
1,<<,9254,-161,-0xa1,,,-6851,-0x1ac3,+6789,+0x1a85,+16959,+0x423f,,
1,<<,9255,-10491,-0x28fb,-30957,-0x78ed,,,+10985,+0x2ae9,+40271,+0x9d4f,,
1,<<,9256,-2565,-0xa05,,,-5655,-0x1617,+3601,+0xe11,+4491,+0x118b,,
1,<<,9257,-2271,-0x8df,-15885,-0x3e0d,,,+4419,+0x1143,,,+9869,+0x268d
1,<<,9258,-4563,-0x11d3,-6653,-0x19fd,,,+1017,+0x3f9,+21015,+0x5217,,
1,<<,9259,-7221,-0x1c35,,,-24319,-0x5eff,+2565,+0xa05,+5231,+0x146f,,
1,<<,9260,-12819,-0x3213,-36665,-0x8f39,,,+877,+0x36d,+1743,+0x6cf,,
1,<<,9261,-9393,-0x24b1,,,-16915,-0x4213,+1181,+0x49d,+39351,+0x99b7,,
1,<<,9262,-393,-0x189,,,-20487,-0x5007,+9793,+0x2641,+10803,+0x2a33,,
1,<<,9263,-4915,-0x1333,-21261,-0x530d,,,+203,+0xcb,,,+5985,+0x1761
1,<<,9264,-7977,-0x1f29,,,-18995,-0x4a33,+7165,+0x1bfd,+86307,+0x15123,,
1,<<,9265,-5661,-0x161d,,,-14599,-0x3907,+13247,+0x33bf,,,+14757,+0x39a5
1,<<,9266,-623,-0x26f,-8801,-0x2261,,,+7039,+0x1b7f,,,+23449,+0x5b99
1,<<,9267,-7657,-0x1de9,,,-9699,-0x25e3,+1953,+0x7a1,+6731,+0x1a4b,,
1,<<,9268,-89,-0x59,,,-15519,-0x3c9f,+2257,+0x8d1,+28431,+0x6f0f,,
1,<<,9269,-18289,-0x4771,,,-50611,-0xc5b3,+1439,+0x59f,,,+4437,+0x1155
1,<<,9270,-1301,-0x515,,,-39063,-0x9897,+6235,+0x185b,,,+6729,+0x1a49
1,<<,9271,-18501,-0x4845,,,-38979,-0x9843,+22371,+0x5763,,,+60125,+0xeadd
1,<<,9272,-3555,-0xde3,-26913,-0x6921,,,+223,+0xdf,,,+14965,+0x3a75
1,<<,9273,-12243,-0x2fd3,-12781,-0x31ed,,,+1487,+0x5cf,,,+4785,+0x12b1
1,<<,9274,-3135,-0xc3f,-4973,-0x136d,,,+29173,+0x71f5,+48783,+0xbe8f,,
1,<<,9275,-18741,-0x4935,,,-23551,-0x5bff,+5139,+0x1413,,,+6341,+0x18c5
1,<<,9276,-2897,-0xb51,,,-23939,-0x5d83,+1537,+0x601,+10047,+0x273f,,
1,<<,9277,-3895,-0xf37,-11241,-0x2be9,,,+569,+0x239,+10431,+0x28bf,,
1,<<,9278,-987,-0x3db,-9653,-0x25b5,,,+1239,+0x4d7,,,+1533,+0x5fd
1,<<,9279,-18667,-0x48eb,-38937,-0x9819,,,+25169,+0x6251,+25203,+0x6273,,
1,<<,9280,-10329,-0x2859,,,-20403,-0x4fb3,+2775,+0xad7,,,+5497,+0x1579
1,<<,9281,-1909,-0x775,,,-26203,-0x665b,+2135,+0x857,,,+22941,+0x599d
1,<<,9282,-3495,-0xda7,-44501,-0xadd5,,,+3819,+0xeeb,,,+8545,+0x2161
1,<<,9283,-1375,-0x55f,-9049,-0x2359,,,+1931,+0x78b,,,+10173,+0x27bd
1,<<,9284,-4695,-0x1257,-9329,-0x2471,,,+1605,+0x645,+41451,+0xa1eb,,
1,<<,9285,-4785,-0x12b1,,,-27475,-0x6b53,+3519,+0xdbf,,,+6981,+0x1b45
1,<<,9286,-9915,-0x26bb,-11157,-0x2b95,,,+16225,+0x3f61,+42619,+0xa67b,,
1,<<,9287,-5679,-0x162f,-23365,-0x5b45,,,+4223,+0x107f,,,+10521,+0x2919
1,<<,9288,-675,-0x2a3,-3125,-0xc35,,,+1963,+0x7ab,,,+3741,+0xe9d
1,<<,9289,-6979,-0x1b43,-30913,-0x78c1,,,+16649,+0x4109,+21419,+0x53ab,,
1,<<,9290,-2757,-0xac5,,,-14195,-0x3773,+4279,+0x10b7,,,+19537,+0x4c51
1,<<,9291,-315,-0x13b,-27325,-0x6abd,,,+4355,+0x1103,,,+9761,+0x2621
1,<<,9292,-245,-0xf5,,,-14819,-0x39e3,+2761,+0xac9,+19995,+0x4e1b,,
1,<<,9293,-4609,-0x1201,,,-21675,-0x54ab,+5279,+0x149f,,,+10065,+0x2751
1,<<,9294,-1073,-0x431,,,-7623,-0x1dc7,+2553,+0x9f9,+6843,+0x1abb,,
1,<<,9295,-487,-0x1e7,-33705,-0x83a9,,,+16085,+0x3ed5,+67839,+0x108ff,,
1,<<,9296,-6723,-0x1a43,-34145,-0x8561,,,+6957,+0x1b2d,+13935,+0x366f,,
1,<<,9297,-63,-0x3f,-2869,-0xb35,,,+555,+0x22b,,,+7397,+0x1ce5
1,<<,9298,-4367,-0x110f,-6633,-0x19e9,,,+12349,+0x303d,+13623,+0x3537,,
1,<<,9299,-3871,-0xf1f,-8781,-0x224d,,,+10539,+0x292b,,,+12329,+0x3029
1,<<,9300,-1335,-0x537,-3065,-0xbf9,,,+67,+0x43,,,+39265,+0x9961
1,<<,9301,-3435,-0xd6b,-21481,-0x53e9,,,+2459,+0x99b,,,+2645,+0xa55
1,<<,9302,-2667,-0xa6b,-7065,-0x1b99,,,+7915,+0x1eeb,,,+8889,+0x22b9
1,<<,9303,-10609,-0x2971,,,-19171,-0x4ae3,+2265,+0x8d9,+17483,+0x444b,,
1,<<,9304,-4385,-0x1121,,,-19895,-0x4db7,+15645,+0x3d1d,+20491,+0x500b,,
1,<<,9305,-915,-0x393,-6013,-0x177d,,,+5289,+0x14a9,+15239,+0x3b87,,
1,<<,9306,-3371,-0xd2b,-6761,-0x1a69,,,+1153,+0x481,+5863,+0x16e7,,
1,<<,9307,-6789,-0x1a85,,,-13275,-0x33db,+5705,+0x1649,+5895,+0x1707,,
1,<<,9308,-4163,-0x1043,-30989,-0x790d,,,+1323,+0x52b,,,+9813,+0x2655
1,<<,9309,-1081,-0x439,,,-24199,-0x5e87,+11079,+0x2b47,,,+11457,+0x2cc1
1,<<,9310,-4245,-0x1095,,,-20903,-0x51a7,+517,+0x205,+4599,+0x11f7,,
1,<<,9311,-16791,-0x4197,-20701,-0x50dd,,,+615,+0x267,,,+13581,+0x350d
1,<<,9312,-6447,-0x192f,-27617,-0x6be1,,,+3643,+0xe3b,,,+37873,+0x93f1
1,<<,9313,-1335,-0x537,-14013,-0x36bd,,,+6171,+0x181b,,,+30689,+0x77e1
1,<<,9314,-5265,-0x1491,,,-7391,-0x1cdf,+21987,+0x55e3,,,+25857,+0x6501
1,<<,9315,-3399,-0xd47,-16561,-0x40b1,,,+14469,+0x3885,+18755,+0x4943,,
1,<<,9316,-9765,-0x2625,,,-22007,-0x55f7,+12187,+0x2f9b,,,+17025,+0x4281
1,<<,9317,-475,-0x1db,-621,-0x26d,,,+12521,+0x30e9,+17507,+0x4463,,
1,<<,9318,-735,-0x2df,-4265,-0x10a9,,,+23793,+0x5cf1,+62035,+0xf253,,
1,<<,9319,-11415,-0x2c97,-21985,-0x55e1,,,+1533,+0x5fd,+7259,+0x1c5b,,
1,<<,9320,-1269,-0x4f5,,,-4919,-0x1337,+24451,+0x5f83,,,+47217,+0xb871
1,<<,9321,-7263,-0x1c5f,-7429,-0x1d05,,,+11607,+0x2d57,,,+44321,+0xad21
1,<<,9322,-13011,-0x32d3,-19817,-0x4d69,,,+9589,+0x2575,+13275,+0x33db,,
1,<<,9323,-2281,-0x8e9,,,-25567,-0x63df,+7929,+0x1ef9,+12843,+0x322b,,
1,<<,9324,-63,-0x3f,-39549,-0x9a7d,,,+1165,+0x48d,+1723,+0x6bb,,
1,<<,9325,-699,-0x2bb,-5305,-0x14b9,,,+1221,+0x4c5,+2459,+0x99b,,
1,<<,9326,-2147,-0x863,-19805,-0x4d5d,,,+1875,+0x753,,,+27369,+0x6ae9
1,<<,9327,-15879,-0x3e07,-22305,-0x5721,,,+9,+0x9,+143,+0x8f,,
1,<<,9328,-10107,-0x277b,-56637,-0xdd3d,,,+9793,+0x2641,+58611,+0xe4f3,,
1,<<,9329,-11349,-0x2c55,,,-14443,-0x386b,+10529,+0x2921,+31395,+0x7aa3,,
1,<<,9330,-3227,-0xc9b,-14625,-0x3921,,,+10819,+0x2a43,,,+12357,+0x3045
1,<<,9331,-1659,-0x67b,-1821,-0x71d,,,+13931,+0x366b,,,+18953,+0x4a09
1,<<,9332,-10989,-0x2aed,,,-49839,-0xc2af,+253,+0xfd,+1623,+0x657,,
1,<<,9333,-6741,-0x1a55,,,-38895,-0x97ef,+12027,+0x2efb,,,+34485,+0x86b5
1,<<,9334,-1901,-0x76d,,,-23903,-0x5d5f,+7669,+0x1df5,+11419,+0x2c9b,,
1,<<,9335,-6327,-0x18b7,-8401,-0x20d1,,,+20231,+0x4f07,,,+41529,+0xa239
1,<<,9336,-13199,-0x338f,-42269,-0xa51d,,,+1137,+0x471,+1383,+0x567,,
1,<<,9337,-9805,-0x264d,,,-89395,-0x15d33,+7769,+0x1e59,+34307,+0x8603,,
1,<<,9338,-16883,-0x41f3,-17153,-0x4301,,,+4495,+0x118f,,,+28413,+0x6efd
1,<<,9339,-4711,-0x1267,-27937,-0x6d21,,,+813,+0x32d,+1859,+0x743,,
1,<<,9340,-7337,-0x1ca9,,,-7755,-0x1e4b,+16485,+0x4065,+33027,+0x8103,,
1,<<,9341,-9843,-0x2673,-24465,-0x5f91,,,+1961,+0x7a9,+30819,+0x7863,,
1,<<,9342,-4325,-0x10e5,,,-15827,-0x3dd3,+6337,+0x18c1,+13143,+0x3357,,
1,<<,9343,-3615,-0xe1f,-6541,-0x198d,,,+7169,+0x1c01,+9311,+0x245f,,
1,<<,9344,-10527,-0x291f,-22293,-0x5715,,,+2013,+0x7dd,+6015,+0x177f,,
1,<<,9345,-1459,-0x5b3,-8925,-0x22dd,,,+77,+0x4d,+6527,+0x197f,,
1,<<,9346,-3063,-0xbf7,-10725,-0x29e5,,,+247,+0xf7,,,+16137,+0x3f09
1,<<,9347,-6127,-0x17ef,-35541,-0x8ad5,,,+9143,+0x23b7,,,+17469,+0x443d
1,<<,9348,-7793,-0x1e71,,,-17127,-0x42e7,+9777,+0x2631,+15487,+0x3c7f,,
1,<<,9349,-8655,-0x21cf,-17169,-0x4311,,,+17909,+0x45f5,+25887,+0x651f,,
1,<<,9350,-8121,-0x1fb9,,,-16971,-0x424b,+5773,+0x168d,+36603,+0x8efb,,
1,<<,9351,-1977,-0x7b9,,,-27771,-0x6c7b,+19511,+0x4c37,,,+24041,+0x5de9
1,<<,9352,-6773,-0x1a75,,,-58647,-0xe517,+721,+0x2d1,+10143,+0x279f,,
1,<<,9353,-7773,-0x1e5d,,,-9703,-0x25e7,+1755,+0x6db,,,+3837,+0xefd
1,<<,9354,-371,-0x173,-9953,-0x26e1,,,+2355,+0x933,,,+17445,+0x4425
1,<<,9355,-5871,-0x16ef,-21145,-0x5299,,,+3321,+0xcf9,+3663,+0xe4f,,
1,<<,9356,-4899,-0x1323,-15933,-0x3e3d,,,+9471,+0x24ff,,,+13393,+0x3451
1,<<,9357,-1573,-0x625,,,-7111,-0x1bc7,+977,+0x3d1,+27611,+0x6bdb,,
1,<<,9358,-3477,-0xd95,,,-7767,-0x1e57,+11689,+0x2da9,+51727,+0xca0f,,
