r1,r2,r3,a1,b1,a2,b2,a3,b3
3,17,32,4896,2509,27744,14213,52224,26753
3,19,20,3420,1783,21660,11287,22800,11881
3,19,22,3762,265,23826,1673,27588,1937
3,19,23,3933,2341,24909,14821,30153,17941
3,19,26,4446,955,28158,6043,38532,8269
3,19,28,4788,2875,30324,18203,44688,26825
3,19,29,4959,3547,31407,22459,47937,34279
3,19,31,5301,4441,33573,28121,54777,45881
3,19,32,5472,2575,34656,16303,58368,27457
3,20,23,4140,1519,27600,10121,31740,11639
3,20,29,5220,4273,34800,28481,50460,41297
3,20,31,5580,4267,37200,28441,57660,44083
3,22,23,4554,2395,33396,17557,34914,18355
3,22,29,5742,1351,42108,9901,55506,13051
3,22,31,6138,3307,45012,24245,63426,34163
3,23,26,5382,781,41262,5981,46644,6761
3,23,28,5796,5455,44436,41815,54096,50905
3,23,29,6003,3553,46023,27233,58029,34337
3,23,31,6417,3763,49197,28843,66309,38875
3,23,32,6624,3787,50784,29027,70656,40385
3,26,29,6786,4003,58812,34685,65598,38687
3,26,31,7254,1315,62868,11389,74958,13579
3,28,29,7308,3889,68208,36289,70644,37585
3,28,31,7812,3163,72912,29513,80724,32675
3,29,31,8091,7147,78213,69079,83607,73843
3,29,32,8352,5857,80736,56609,89088,62465
3,31,32,8928,4771,92256,49291,95232,50881
4,5,7,560,513,700,641,980,897
4,5,11,880,481,1100,601,2420,1321
4,5,13,1040,137,1300,171,3380,443
4,5,17,1360,873,1700,1091,5780,3707
4,5,19,1520,1409,1900,1761,7220,6689
4,5,23,1840,657,2300,821,10580,3773
4,5,29,2320,1049,2900,1311,16820,7599
4,5,31,2480,241,3100,301,19220,1861
4,7,11,1232,265,2156,463,3388,727
4,7,13,1456,1201,2548,2101,4732,3901
4,7,17,1904,337,3332,589,8092,1429
4,7,19,2128,1913,3724,3347,10108,9083
4,7,23,2576,2329,4508,4075,14812,13387
4,7,29,3248,2481,5684,4341,23548,17981
4,7,31,3472,57,6076,99,26908,435
4,11,13,2288,977,6292,2685,7436,3173
4,11,17,2992,641,8228,1761,12716,2721
4,11,19,3344,1017,9196,2795,15884,4827
4,11,23,4048,2009,11132,5523,23276,11547
4,11,29,5104,4753,14036,13069,37004,34453
4,11,31,5456,4985,15004,13707,42284,38627
4,13,17,3536,2313,11492,7515,15028,9827
4,13,19,3952,3921,12844,12741,18772,18621
4,13,23,4784,465,15548,1509,27508,2669
4,13,29,6032,1849,19604,6007,43732,13399
4,13,31,6448,1905,20956,6189,49972,14757
4,17,19,5168,2225,21964,9453,24548,10565
4,17,23,6256,2385,26588,10133,35972,13709
4,17,29,7888,793,33524,3367,57188,5743
4,17,31,8432,1537,35836,6529,65348,11905
4,19,23,6992,2393,33212,11363,40204,13755
4,19,29,8816,4913,41876,23333,63916,35613
4,19,31,9424,3369,44764,15999,73036,26103
4,23,29,10672,513,61364,2945,77372,3713
4,23,31,11408,6681,65596,38411,88412,51771
4,29,31,14384,13425,104284,97325,111476,104037
5,6,7,1050,481,1260,577,1470,673
5,6,11,1650,1541,1980,1849,3630,3389
5,6,13,1950,361,2340,433,5070,937
5,6,17,2550,1481,3060,1777,8670,5033
5,6,19,2850,1801,3420,2161,10830,6841
5,6,23,3450,1061,4140,1273,15870,4877
5,6,29,4350,4151,5220,4981,25230,24071
5,6,31,4650,1141,5580,1369,28830,7069
5,7,8,1400,1101,1960,1541,2240,1761
5,7,11,1925,81,2695,113,4235,177
5,7,12,2100,1021,2940,1429,5040,2449
5,7,13,2275,1251,3185,1751,5915,3251
5,7,16,2800,2381,3920,3333,8960,7617
5,7,17,2975,1046,4165,1464,10115,3554
5,7,18,3150,151,4410,211,11340,541
5,7,19,3325,2491,4655,3487,12635,9463
5,7,22,3850,3271,5390,4579,16940,14389
5,7,23,4025,3676,5635,5146,18515,16906
5,7,24,4200,2341,5880,3277,20160,11233
5,7,26,4550,3331,6370,4663,23660,17317
5,7,29,5075,716,7105,1002,29435,4148
5,7,31,5425,3706,7595,5188,33635,22972
5,7,32,5600,3021,7840,4229,35840,19329
5,8,11,2200,361,3520,577,4840,793
5,8,13,2600,1431,4160,2289,6760,3719
5,8,17,3400,1251,5440,2001,11560,4251
5,8,19,3800,3721,6080,5953,14440,14137
5,8,23,4600,1181,7360,1889,21160,5429
5,8,29,5800,2671,9280,4273,33640,15487
5,8,31,6200,4661,9920,7457,38440,28893
5,11,12,3300,281,7260,617,7920,673
5,11,13,3575,1686,7865,3708,9295,4382
5,11,14,3850,1201,8470,2641,10780,3361
5,11,16,4400,241,9680,529,14080,769
5,11,17,4675,2531,10285,5567,15895,8603
5,11,18,4950,3161,10890,6953,17820,11377
5,11,19,5225,801,11495,1761,19855,3041
5,11,23,6325,1436,13915,3158,29095,6602
5,11,24,6600,4601,14520,10121,31680,22081
5,11,26,7150,2141,15730,4709,37180,11129
5,11,28,7700,1761,16940,3873,43120,9857
5,11,29,7975,4426,17545,9736,46255,25666
5,11,31,8525,4441,18755,9769,52855,27529
5,11,32,8800,5681,19360,12497,56320,36353
5,12,13,3900,3151,9360,7561,10140,8191
5,12,17,5100,1871,12240,4489,17340,6359
5,12,19,5700,5641,13680,13537,21660,21433
5,12,23,6900,1301,16560,3121,31740,5981
5,12,29,8700,4091,20880,9817,50460,23723
5,12,31,9300,1981,22320,4753,57660,12277
5,13,14,4550,1321,11830,3433,12740,3697
5,13,16,5200,2711,13520,7047,16640,8673
5,13,17,5525,626,14365,1626,18785,2126
5,13,18,5850,181,15210,469,21060,649
5,13,19,6175,2246,16055,5838,23465,8532
5,13,22,7150,6251,18590,16251,31460,27501
5,13,23,7475,656,19435,1704,34385,3014
5,13,24,7800,7471,20280,19423,37440,35857
5,13,28,9100,3631,23660,9439,50960,20329
5,13,29,9425,2971,24505,7723,54665,17227
5,13,31,10075,9736,26195,25312,62465,60358
5,13,32,10400,8551,27040,22231,66560,54721
5,14,17,5950,591,16660,1653,20230,2007
5,14,19,6650,3611,18620,10109,25270,13719
5,14,23,8050,4621,22540,12937,37030,21253
5,14,29,10150,2011,28420,5629,58870,11659
5,14,31,10850,6751,30380,18901,67270,41851
5,16,17,6800,4731,21760,15137,23120,16083
5,16,19,7600,6601,24320,21121,28880,25081
5,16,23,9200,3661,29440,11713,42320,16837
5,16,29,11600,3351,37120,10721,67280,19431
5,16,31,12400,9941,39680,31809,76880,61629
5,17,18,7650,6251,26010,21251,27540,22501
5,17,19,8075,2216,27455,7532,30685,8418
5,17,22,9350,7921,31790,26929,41140,34849
5,17,23,9775,9726,33235,33066,44965,44736
5,17,24,10200,5891,34680,20027,48960,28273
5,17,26,11050,8881,37570,30193,57460,46177
5,17,28,11900,1851,40460,6291,66640,10361
5,17,29,12325,6291,41905,21387,71485,36483
5,17,31,13175,9431,44795,32063,81685,58467
5,17,32,13600,8171,46240,27779,87040,52289
5,18,19,8550,5971,30780,21493,32490,22687
5,18,23,10350,9431,37260,33949,47610,43379
5,18,29,13050,2621,46980,9433,75690,15197
5,18,31,13950,8461,50220,30457,86490,52453
5,19,22,10450,8941,39710,33973,45980,39337
5,19,23,10925,1571,41515,5967,50255,7223
5,19,24,11400,7561,43320,28729,54720,36289
5,19,26,12350,11801,46930,44841,64220,61361
5,19,28,13300,10821,50540,41117,74480,60593
5,19,29,13775,10136,52345,38514,79895,58784
5,19,31,14725,8776,55955,33346,91295,54406
5,19,32,15200,441,57760,1673,97280,2817
5,22,23,12650,10401,55660,45761,58190,47841
5,22,29,15950,4591,70180,20197,92510,26623
5,22,31,17050,9831,75020,43253,105710,60947
5,23,24,13800,1421,63480,6533,66240,6817
5,23,26,14950,13461,68770,61917,77740,69993
5,23,28,16100,3081,74060,14169,90160,17249
5,23,29,16675,10146,76705,46668,96715,58842
5,23,31,17825,8886,81995,40872,110515,55088
5,23,32,18400,9501,84640,43701,117760,60801
5,24,29,17400,17111,83520,82129,100920,99239
5,24,31,18600,11701,89280,56161,115320,72541
5,26,29,18850,12201,98020,63441,109330,70761
5,26,31,20150,4341,104780,22569,124930,26909
5,28,29,20300,10271,113680,57513,117740,59567
5,28,31,21700,5561,121520,31137,134540,34473
5,29,31,22475,21501,130355,124701,139345,133301
5,29,32,23200,791,134560,4583,148480,5057
5,31,32,24800,12581,153760,77997,158720,80513
6,7,11,2772,2053,3234,2395,5082,3763
6,7,13,3276,3121,3822,3641,7098,6761
6,7,17,4284,3421,4998,3991,12138,9691
6,7,19,4788,2005,5586,2339,15162,6347
6,7,23,5796,2125,6762,2479,22218,8143
6,7,29,7308,5041,8526,5881,35322,24361
6,7,31,7812,2581,9114,3011,40362,13331
6,11,13,5148,4969,9438,9109,11154,10765
6,11,17,6732,5917,12342,10847,19074,16763
6,11,19,7524,7273,13794,13333,23826,23029
6,11,23,9108,4405,16698,8075,34914,16883
6,11,29,11484,9841,21054,18041,55506,47561
6,11,31,12276,6625,22506,12145,63426,34225
6,13,17,7956,2917,17238,6319,22542,8263
6,13,19,8892,7981,19266,17291,28158,25271
6,13,23,10764,6229,23322,13495,41262,23875
6,13,29,13572,13141,29406,28471,65598,63511
6,13,31,14508,8701,31434,18851,74958,44951
6,17,19,11628,5437,32946,15403,36822,17215
6,17,23,14076,2209,39882,6257,53958,8465
6,17,29,17748,3901,50286,11051,85782,18851
6,17,31,18972,8893,53754,25195,98022,45943
6,19,23,15732,7741,49818,24511,60306,29671
6,19,29,19836,14257,62814,45145,95874,68905
6,19,31,21204,15361,67146,48641,109554,79361
6,23,29,24012,18445,92046,70703,116058,89147
6,23,31,25668,3961,98394,15181,132618,20461
6,29,31,32364,15193,156426,73429,167214,78493
7,8,11,4312,2283,4928,2609,6776,3587
7,8,13,5096,589,5824,673,9464,1093
7,8,17,6664,3193,7616,3649,16184,7753
7,8,19,7448,1835,8512,2097,20216,4979
7,8,23,9016,3935,10304,4497,29624,12927
7,8,29,11368,9493,12992,10849,47096,39325
7,8,31,12152,10543,13888,12049,53816,46687
